sentence	sentence_id	locale	reason
متوازن خوراک صفائی کوڑا کرکٹ رات کو پھینکیں اور غریب عوام	c2ed57b2705384fd27100982ee86a2f5a059be65c1573eb523e0ad2c59c01964	ur	grammar-or-spelling
دبئی ٹیسٹپاکستان کی انگلینڈ کیخلاف ٹاس جیت کر بیٹنگ	c0a8c63b41bc50ac84237c5b9dc41d46d14e203d7788dbda6bccc25393fd06af	ur	grammar-or-spelling
میرا بس چلے تو میں انہیں ملک کا سربراہ بنا دوں لیکن انہیںستائش ملتی ہے۔	0ce0bb792ce82b7fe4a353478586fe0941f40c0fe5e286509f95bbdfac901abf	ur	grammar-or-spelling
پاک فوج کے بیان پر جماعت الاحرار کا ردعمل جاری رہے گی	049eb2d921352b12f052499a1d707793775ad0058b4b3dfb20843f57f2dec574	ur	grammar-or-spelling
ہوا ہے شہہ کا مصاحب پھرے ہے اتراتا	13b3ddc2d9e4ff09db93c0d3f95b4558d79c1a0e43527f3315c91223b3c10969	ur	grammar-or-spelling
میں اُردو ہولتا ہوں۔	406e81950803218d9b49f3d6d54b9e3eba94afc1f0db11a57769b445ba777c44	ur	should be "??? ????? ????? ????"
وہ الفاظ ہے	4bc8b678d4301c1a52e9121003869e766d55edc2c30cba54b3dc5e2494725c2d	ur	grammar-or-spelling
دیدہ خوں بار ہے مدت سے‘ ولے آج ندیم!	60c1e2b202fe1f10a460e7f3490c512bf72598af7ebea00f641b60596e7a5210	ur	grammar-or-spelling
پورپ میں اٹھنے والی پاپولزم کی تحریک بنیادی طور پر تین نکات پر مبنی ہے۔	5fcd5e8a61b238f669bf960980a620c831df9205ed39dc20c2fbe57d4756ef74	ur	grammar-or-spelling
بے محل‘ اے مجلس آرائے نجف! جلتا ہوں میں	4fbd6c38e2be19f5254eba2bb01ee22b337cc733d56adf08a2ec34f4b07c5e6d	ur	grammar-or-spelling
پھر بھی میرے کسی کہے پہ کسی کی‘ بالخصوص اعوانوں کی دل آزاری ہوئی ہے۔	4dd4424fe0d0b7c1d07613503a5e7005c19ec6486fecba7e4e77fa68aa6555d3	ur	grammar-or-spelling
ہم شیش محل والوں سے کیونکر محبت کر بیتھے	4b48e320d242bec4246d428677b45b3d73dad007484a5371c966956f536403e4	ur	grammar-or-spelling
گناھ کرتا ھے خود ، لعنت بھیجتا ھے شیطان پر	2d3b984dd8751b93c2e868b2a9b28b844aa7295a6b122807f79ecb1b3f46cf01	ur	grammar-or-spelling
جماعت الاحرار نے ان تمام ممکنہ اقدامات کو رد کرتے ہوئے تاکید	8d453010de149f331e2671c5b84d11de3cd1745fd11777b50d908bc554fec191	ur	grammar-or-spelling
جماعت الاحرار نے ان تمام ممکنہ اقدامات کو رد کرتے ہوئے تاکید	8d453010de149f331e2671c5b84d11de3cd1745fd11777b50d908bc554fec191	ur	difficult-pronounce
يا بندہ صحرائي يا مرد کہستاني	01bb3599a317ef82f71af0bf9bb65993325a9d62ac2d8ec1d9aacf9fdc17b080	ur	grammar-or-spelling
صرفہ ہے ضبط آہ میں میرا وگرنہ میں	b90da748b98943a36e4ee381fa80ada8387936d2041c7db2109e9593837c0436	ur	grammar-or-spelling
صفحۂ آئنہ جولاں گہ طوطی نہ ہوا	c4e6d4da032a8a0b6cdb8e718a19add1d76d9bcb31cd9f098cb392d5922ddd8e	ur	difficult-pronounce
ہی والے ہیں جو آپ والی فائل میں شامل ہیں۔	c428b97141bb06840a597f6ba31fa4a907c9c98a2c44007a701c6068720d085f	ur	grammar-or-spelling
کیا کے الوا وو شو کے دیگر رولز کے لیے بھی گانے گیا کرتی پتلی	725d0175556e190593b9c02b737681a70b69c3872868731cccde8299fb0c83ee	ur	grammar-or-spelling
فریدون و جم و کیخسرو و داراب و بہمن ک	b80d853ff6a69a250709f18d232b1bcf4e656127ca749c749fbf20689218a931	ur	grammar-or-spelling
نوجوان بلاول کو مگر کیوں خواہ مخواہ بھٹو بنانے کی کوشش ہو رہی ہے؟	4874b2a3c4bfec49cd142b7d5e3290309a753eb88ec71b7a6f4d22840d06a9b2	ur	offensive-language
مزاحیہ اداکار کپل شرما کو بھاری پڑی فلرٹنگ سلمان خان کے پاس پہنچی شکایت	009127fcf40b0b8f0fa025150a979c1d378b0d91206f4936c2a029bb2dbcc12b	ur	grammar-or-spelling
پراچین سنسکرت دور اور دیگر زیرتحقیق آرک لوجیکل سائٹسٹ	022fe29b9374fdeebdc97a258c59d2e0abcb8009169e575551810cd50812c7c0	ur	grammar-or-spelling
زمینی حقائق کی بنیاد پر نیا نظام زکو تشکیل دینے کی تجویز	00fdeacbf14cad1e1b68d48c0fa05657cdd003704ae7d3c142788652576d6385	ur	grammar-or-spelling
جاسکے گی طیارے کی کمرشل بنیادوں پر پیداوار ء کے آغاز میں شروع ہوگی	02653e8448aead2cc1f4628c0443359746d90cfaf5dd062d3d47c4c3be471b7d	ur	difficult-pronounce
منعقدہ اجلاس کے دوران کہی اجلاس کو بتایا گیا کہ ڈپٹی کمشنروانکم ٹیکس یونٹ رینج زون کے اہلکاروں کی ناجائز	008e0057f2d06daa8b0ee62b620803cdd40f4529266e54cbcf7892083d10ee7d	ur	grammar-or-spelling
پر پابندی عائد کے اہداف طے کر رہی ہیں	026639e46d5c6f180a2a65d822843b6fc191ba40b4ab640c3e633f3fa057ee84	ur	grammar-or-spelling
اس میں وقت اور انسانی جان جیسی قیمتی چیزوں ضائع ہو جاتی ہیں۔	1505425232dfb9fe53787a945848057dc747fecf062ec3acfd0fd2b9b16ffa27	ur	grammar-or-spelling
یے گلت ہے	399968531b79ec93a6d46fa742889e984e37b3297a614caaffe2fb039c555e10	ur	grammar-or-spelling
زیادہ ڈراماز دیکھنے سے پرہیز کریں بعض ڈراماز صحت کے لئے مضر ہوتے ہیں	41315892a7c06bb6ab1689c183d051648bcfe565ad1edfda0325de85fd5b4719	ur	grammar-or-spelling
Muhabbat Adawat Wafa Berukhi	759f3bec76d461c909bb7bcf5a704a3fb454e6da8fccf05d2b304d837e0cb356	ur	different-language
کس کو دوں یا رب! حسابِ سوز ناکیہائے دل	69739545e94bdb3a33b0f9744bae6baa640f11603e8ffe2a367ef7ad6e829b1c	ur	grammar-or-spelling
کھویا گیا جو مطلب ہفتاد و دو ملت میں	650f0261fbcc9030cd81f7d54984c4facfa4e0103b6cdc4ec2e8077f0019dfb5	ur	grammar-or-spelling
گلاب کی سے زیادہ انواع ہیں	369e69f4a22f6b1fa871fd23f9b5447c0234290637611d9eb369b7930d33a19f	ur	grammar-or-spelling
س عرصے میں زرداری نے پارلیمان کو مضبوط کیا	7fdcb8e1d7daedf58acff4957929f74e7755be768a96cbad28ff693a79f6c39d	ur	grammar-or-spelling
محبت خویشتن بینی محبت خویشتن داری	4a6f943cd53ccedccb95eacd7622f8d69244f57bb5b81b9a4ed291c9c7f23d83	ur	different-language
وہ دوریا وہ ہی فاصلے	3de2ee0ec35cc7d54616768415a61a088f00f7897922f71df12f46ffb95afbe3	ur	grammar-or-spelling
Musafir K Rastay Badaltay Rahay	908fa77b00fe27ad4d554a93dae512e3f8adc0cb526b4a9ce2ad7b6eea2b46fc	ur	different-language
اس میں شبہ نہیں کہ اس نظام میں ا نگنت خرابیوں ہیں اور وہ اصلاح طلب ہیں۔	73b00778d90179dc48622d2e88902ef211173e75ce42e4bc58db21ead3dcd606	ur	grammar-or-spelling
نہ پاک بھارت تعلقات بہتر ہو سکتے ہیں اگر ہم ایک روادار سماج چاہتے ہیں۔	8ec339986f2e99ab7fd51549e9c4a727d5b21db0df9f2b3bdd30f6df6574bccb	ur	grammar-or-spelling
کیوں کہ مجھے وہ نہیں اچھا لکھتا مجھے دوسرا لڑکا اچھا لگتا ہے	7dd840fdcf29fadd6a32ea6156915bcec89daafe825c5af6d8d57aea5642fefc	ur	grammar-or-spelling
جودہ نام کراچی سے پہلے کراچی کو مکران کے علاقے	a24904edf33de2f7209b67faa17d545bfff714c14ff433ea346629838f16977a	ur	grammar-or-spelling
بکہ سکردو کے لوگ انتہائی ملنسار، خوش مزاج	a07ba32684bbac74a101148bb1f995d918a84075af77e392e070e123cb32c4de	ur	grammar-or-spelling
رقی پسند اور پرامید سوچ کی جھلک تھی	8f66fd8f0e6c734eb6375775b71e114befc88fff1c6cd3814755d00059034792	ur	grammar-or-spelling
لیکن میں نام بدلتی رہتی ہوں لیکن لڑکا بن کر میں نے کبھی بھی کسی سے بات نہیں کی	9314cb0987a6e2a9c282f42684a4d86293d82e9b4750402ccf7cf4dcf6e906ae	ur	offensive-language
شامی فوج نے آج صبح "جوبر" میں دہشتگرد گروہ کے زیر قبضہ	9e9a452e62186d03a326464f68408ce4b9c492c168408fdab6745ce547010812	ur	grammar-or-spelling
نہ کھڑکی کا پنجابی میں اس صورت حال کے بیان کے لیے ایک لفظ ہے۔	b00d3f575c44a7772b3a5dcbbc9f9e13e9dc9c29ddb7b1c4944b86643f651764	ur	grammar-or-spelling
اس پہ مستزاد ان کا اسلوب یہ دوباتیں اس مجموعے کی اشاعت کے لیے بطورجواز کفایت کرتی ہیں۔	ee57df48d5e90dcbd35b0be2b5ff24027052311914e6f481eb5dc890e67d3c9f	ur	grammar-or-spelling
وہ ہیدر اباد ہے	e4f50d6d54269d6500a468ac4685c69aea0a59c579b78b9765cf0b9054235ccf	ur	grammar-or-spelling
aala	4018aa292d1f820e727a2b3fb6117d0c8b8282a1dee78346c7440bb390c8fe69	ur	offensive-language
تم خداوند ہی کہلاؤ‘ خدا اور سہی	448fff0fded3f2de953f5b769115c518fb6bca8272443415da2bb427812c7e6f	ur	grammar-or-spelling
ان کی زبان مقامی ہے۔	75ee23a42722b431651c7714151fab278efa3548b3640e9eee0ef2626daaf0f2	ur	different-language
اس میں شبہ نہیں کہ اس نظام میں ا نگنت خرابیوں ہیں اور وہ اصلاح طلب ہیں۔	73b00778d90179dc48622d2e88902ef211173e75ce42e4bc58db21ead3dcd606	ur	grammar-or-spelling
کیوں کے وو جنت ہیں کے وقت کے ساتھ ساتھ اپنے کام میں کیا تبدیلی لائی جا سکتی ہے	8be7f949cba2b71c0b1b0d046d840e2b2105a2f31ee63c078091d738a675a1bc	ur	grammar-or-spelling
اورنظام بھی اس مقدمے کے حق میں ان گنت شواہد مو جود ہیں۔	c748e11aaaaa52e8e64f37bc1751e7cf661e2d370b6fa8d76dfc91830106587a	ur	grammar-or-spelling
سراسر تاختن کو شش جہت یک عرصہ جولاں تھا	d25cf1e7343451bea8f6fad1b676cfacb344175f7a1bfc8c3bcaad4cf774ffb1	ur	grammar-or-spelling
کیوں کے وو جنت ہیں کے وقت کے ساتھ ساتھ اپنے کام میں کیا تبدیلی لائی جا سکتی ہے	8be7f949cba2b71c0b1b0d046d840e2b2105a2f31ee63c078091d738a675a1bc	ur	grammar-or-spelling
ساقی تم نہ رونا مےخانے نہ رونا	e200b30c3955fcf6680140a6d251aeb12cb55231652402cc519a6858130af14c	ur	grammar-or-spelling
ہے مکیں کی پا داری نام صاحب خانہ	d6351b5216c478877d71132278962db0953ceac62a18e1797213fcd515f9303d	ur	grammar-or-spelling
گی کہ ساری امریکی کہانی از بر ہو جائے۔	0159380c11da779c075107c3354847231cfce5b66c095763d9dd52276e34268f	ur	grammar-or-spelling
جس کا دیوان کم از گلشنِ کشمیر نہیں	ec3a4ced732a40d3040434822a71524828df191aa9cec10afe2834093ce65f42	ur	grammar-or-spelling
اس کی آنکھوں کا کر ب میرے دماغ کے اندر بنے ہوئے	324c3792432a3011ff9482500d5505db2db95dfaef4864369a142ee64e079e04	ur	grammar-or-spelling
مری جبیں پہ مرے آنسوؤں سے کل لکھ دے	42d31e7699e210386aee89dfc2f7043fea10d780a476680e03f08b987c79ab8a	ur	grammar-or-spelling
وہ ہیندو ہے	1d7b55bf0a545cf516e3a174ec96dab5ff316c987dbe3066c1f93a010863850b	ur	grammar-or-spelling
ڈاکٹر اعجاز احمد نے اپنے قیمتی اراءسے مستفید کی	15ccf63e1cfb4cdb5b0fb28ba20bbf23859610d3e06ffd8f56592226df9c8138	ur	grammar-or-spelling
Muqaddar Main Chalna Tha Chaltay Rahay	2257a92e9c327370780ec418ee0f27e2ee1e26c7eeec117085351cdf65de709c	ur	different-language
چونکہ اسلام میں ارتداد کی سزا موت ہے، اس لیے ان کا خون مباح ہے۔	0c57f8de67e88c62468326ef7d66bbf4a3c22f6e42c918756c6f09a6ec86a97d	ur	???? ????
وہ اپنے دوستوں کے ساتھ کھیلتا ہے اور ہمیں خوشی دیتا ہے۔ 	044d45e2a16d14c75d3357b51f1f2279409821d7c97c21fd7719ec3ffc880302	ur	grammar-or-spelling
بھارت امریکا سے تجارتی معاہدہ حاصل کرنے میں ناکام	044dfc92fdd984bc943c75670083dd9557e369556a69d33a0ba24c47e4d3d6c7	ur	context is out.
کیا ہماری تقدیر اٹل ہے اور اس میں کوئی تبدیلی ممکن نہیں؟	044e617e8a17e2ffef5f1457ad6ec5870994defcc271c89393b77cebcd7b8a8c	ur	grammar-or-spelling
ہونڈائے کا پاکستان میں گاڑیاں اسمبل کرنے کا فیصلہ	045902513daf35a1fbdf2b6c26ef84ac40b32223793128f63e3780001f5f20ba	ur	grammar-or-spelling
وکاس بہل ہراساں کرنے کے الزامات کے باوجود ہریتھک کی فلم مکمل کریں گے	045a5c7b17356da1862dfd2c8fc97c587e4e34f5a4c0a5724e1f97db407a7b83	ur	grammar-or-spelling
یہ ریاست تھی یا کوئی اور؟	045de6cace87e9cb4482bf290dbcd7f2d1aabe714e541e36679213a1fc2d21c1	ur	grammar-or-spelling
مملکت نے اپنا کیا حال بنایا ہے۔	045f7067e075f63780f3476180948d52668118f528caf37941355452b8b9a029	ur	grammar-or-spelling
پاکستان اس کا کچھ نہیں کر سکتا۔	04620c139d5e87c39f8299b5e1e1e4807b4af31b3a9ca399350ae28ab35c44d2	ur	difficult-pronounce
دنیا میں ک بھی ہوں کو توقیر کا سام بھی کر پڑتا ہے	04658636c5b0d0ac3e1359a948920cd0048689c1ab6fc3c72300518c9e413746	ur	sc-different-language
ان کا مقدر بنی حسین بن علی رض بھی انہیں	0467a3d548deb256b5f9f73384d096c592303fe5686a1f0cc520ee2c2233f02e	ur	grammar-or-spelling
جبکہ تنویمی عمل کی ایک جداگانہ حیثیت ہے	0468dd4657c88bc738d9594b5cc2c84b1c4c6ac342dad520b26214b767b7e3dd	ur	grammar-or-spelling
ہم پاکستان میں موافق حالات پیدا کریں	046acecae8b34704c31ad719ae4fc065f6b98c78dfb11318c3a5d3da7b3470d3	ur	grammar-or-spelling
مناسب سمجھا عبداللہ بن عباس کہتے تھے یہ کوفی دھوکے	046eef7e5255c9ee455635441e7e13c4504431dcf2e7fa19026d01ad2ca39507	ur	grammar-or-spelling
پہلی تبدیلی نوجوانوں کا عملی سیاست میں متحرک ہونا ہے۔	046f53ffdbf860d87cfeeb17505e1552a12690cfadf5a80b44a69e9aff6b303e	ur	grammar-or-spelling
اس کا مخمصہ یہ ہے کہ عوامی تائید نوازشریف کے ساتھ ہے۔	042f4d4d50d3ce55ed0e60754ed7d9616ea7c547763915429a98979e4817e07a	ur	grammar-or-spelling
مجھے کنیڈا گئے ہوئے کافی عرصہ ہو گیا ہے	043d239fecad1fccca5c3d75d475c2ee80253bf9b95c10d82512a77d91b6db7f	ur	grammar-or-spelling
فواد خان بہت ہی حسین ادمی ہیں انیل کپور	044011f0d028324d24566d86583ad7b6fb9fa761675f15dae7ae1f27a72d07bc	ur	???? ??? ???
باعزت ملک بن کر ابھرے گا	04430fd8b24b1b9014600beaf2be6edebe7c78d44cfc375489d5ceaedf669712	ur	???? ??? ???
پہلے ذہن بدلتے ہیں۔	04478a4db8458f803ee2f3a0f290e3cb7a7deec444b77060fbce8661914f1729	ur	???? ??? ???
لہذا جب نتائج آئے تو اسی لحاظ سے مایوسی پھیلتی گئی۔	0448ca71382b45c659bdb22f6f34adc7a05647657c9c3292065f6813e37cbcae	ur	difficult-pronounce
ہونڈائے کا پاکستان میں گاڑیاں اسمبل کرنے کا فیصلہ	045902513daf35a1fbdf2b6c26ef84ac40b32223793128f63e3780001f5f20ba	ur	grammar-or-spelling
جسے پنڈت رتن ناتھ سرشار کشمیری نے لکھا	045b187995f939efc18a51e4f0fda374fd28c1bd66a1132961f1fbddf31d648a	ur	???? ??? ???
مملکت نے اپنا کیا حال بنایا ہے۔	045f7067e075f63780f3476180948d52668118f528caf37941355452b8b9a029	ur	sc-different-language
پاکستان اس کا کچھ نہیں کر سکتا۔	04620c139d5e87c39f8299b5e1e1e4807b4af31b3a9ca399350ae28ab35c44d2	ur	grammar-or-spelling
ان کا مقدر بنی حسین بن علی رض بھی انہیں	0467a3d548deb256b5f9f73384d096c592303fe5686a1f0cc520ee2c2233f02e	ur	grammar-or-spelling
پاک بھارت ہاکی سیریز مارچ میں ہونے کا امکان	0469df8fa16423f8fe6406cb79288c6aff99077154305284adee57e3e4d83c3c	ur	grammar-or-spelling
پیٹرولیم مصنوعات میں سے روپے تک اضافے کی تیاری	046e0267e574b119707ee9c4521d83a3fdb2849977148b77eb71bdbbf48b98c8	ur	grammar-or-spelling
او سلی ون کہتے ہیں کہ ہمارے پیٹ اور آنتوں میں کروڑوں اقسام کے بیکٹیریا موجود ہوتے ہیں اور ہر شخص کے	0469daeabb1766d553a79700f6f6a86d30b560c87a8e0cefb12c48c2bd324337	ur	grammar-or-spelling
ایک ڈرامے پر تنقید کے بعد بشری انصاری کا سخت ردعمل وائرل	047e8e0c414ec912dc4eff78fb3fc7d71fe725bfc2704167559d23c19377171b	ur	???? ??? ???
مؤرخ لکھے گا	048054437253398cf13be2e678391b420d009978a8dc93cb8ed5201697bfe73d	ur	???? ??? ???
حضور اکرم صلی اللہ علیہ وآلہٖ وسلم ان کو بہت پسند 	048238e1bee63be2b9416d391330abdde674afa64296bcaac5ff835ce74bc78c	ur	???? ?? ???? ??? ?????? ?????? ??? ?
منیکارنیکا دیکھنے کے بعد تجزیہ کاروں کو منہ بند کرنا پڑے گا کنگنا	0482c553a579cb8123185bb5cc8457bf9ca575541c4bd3110b47a69b1dad025d	ur	???? ?? ????? ???????? ?????? ?? ??? ??? ??? ?? ?
آج سورج کہاں سے نکلا ہے	0483a475b023d95c70481c401d824d5a6053661314d364a6d5d5b14ce3e5e477	ur	grammar-or-spelling
اٹلانٹا جارجیا اوہہا نیبراسکا	048648febdfb70b217beeff69b733d479a402e9088bc79a63be2a2fd11dc2999	ur	grammar-or-spelling
کھانا اور مشروب پارٹی میں وافر مقدار میں تھا	048c5428dd8869bec07febba77e6499c4ec5ccc6737079757054d5fb36884afb	ur	???? ?? ????? ???????? ?????? ?? ??? ??? ??? ?? ?
موٹر وے پر خاتون کے گینگ ریپ پرشوبز شخصیات میں غم غصہ	03ef78074403062fcef743c81be328f0186476b89b597d18ef206eb0e25beb0b	ur	grammar-or-spelling
ان کی گاڑی دیں سال پرانی تھیں وہاں	03ac48974b63a2ae9aa2e81aa91782c3214e06ccc017be1a6fa50f362766e11b	ur	grammar-or-spelling
امریکہ اور اس کے تمام اتحادی اس جہاد میں شریک کار تھے۔	03fc75464bc8ed81e1d44fbeb96e38e67a5f580cfc9f6e4072863c7e63c3a934	ur	grammar-or-spelling
کارگل سے فوج کو نہ بلایا ہوتا تو کشمیر ازاد ہوتا	04c92b003a22a1ec119162286e0cc7e98389b8e51c80257e5686b2b64f221ffb	ur	grammar-or-spelling
میں صبح کے دس بجے کے آس پاس آؤں گا۔	038b8692f64c121cc70ade6eae47c582af32d539343c77c8c94465478ebcb2ff	ur	grammar-or-spelling
اب میں اپنے دوست کا تعارف کرواؤں آپ سے؟	046eff5a4abaa3af15fc4639c76e541b90b88183efc746c456e8772866e1301d	ur	grammar-or-spelling
تحسین آپ کی اردو اسائنمنٹ تیار ہوئی؟	539c880710064b08fd2f98604e2aad07e26557c98d54d344c930742b399dfae7	ur	grammar-or-spelling
